filename,logo-name,x,y,farbe
neural_network/training_images/triangle_red_0000.bmp,triangle,80,68,red
neural_network/training_images/triangle_red_0001.bmp,triangle,80,67,red
neural_network/training_images/triangle_red_0002.bmp,triangle,67,72,red
neural_network/training_images/triangle_red_0003.bmp,triangle,59,73,red
neural_network/training_images/triangle_red_0004.bmp,triangle,68,58,red
neural_network/training_images/triangle_red_0005.bmp,triangle,73,48,red
neural_network/training_images/triangle_red_0006.bmp,triangle,67,61,red
neural_network/training_images/triangle_red_0007.bmp,triangle,77,66,red
neural_network/training_images/triangle_red_0008.bmp,triangle,71,77,red
neural_network/training_images/triangle_red_0009.bmp,triangle,74,64,red
neural_network/training_images/triangle_red_0010.bmp,triangle,60,64,red
neural_network/training_images/triangle_red_0011.bmp,triangle,58,70,red
neural_network/training_images/triangle_red_0012.bmp,triangle,74,52,red
neural_network/training_images/triangle_red_0013.bmp,triangle,66,70,red
neural_network/training_images/triangle_red_0014.bmp,triangle,63,48,red
neural_network/training_images/triangle_red_0015.bmp,triangle,74,64,red
neural_network/training_images/triangle_red_0016.bmp,triangle,65,72,red
neural_network/training_images/triangle_red_0017.bmp,triangle,55,62,red
neural_network/training_images/triangle_red_0018.bmp,triangle,88,70,red
neural_network/training_images/triangle_red_0019.bmp,triangle,64,62,red
neural_network/training_images/triangle_red_0020.bmp,triangle,73,60,red
neural_network/training_images/triangle_red_0021.bmp,triangle,59,63,red
neural_network/training_images/triangle_red_0022.bmp,triangle,70,60,red
neural_network/training_images/triangle_red_0023.bmp,triangle,67,64,red
neural_network/training_images/triangle_red_0024.bmp,triangle,52,54,red
neural_network/training_images/triangle_red_0025.bmp,triangle,49,67,red
neural_network/training_images/triangle_red_0026.bmp,triangle,66,57,red
neural_network/training_images/triangle_red_0027.bmp,triangle,47,75,red
neural_network/training_images/triangle_red_0028.bmp,triangle,71,70,red
neural_network/training_images/triangle_red_0029.bmp,triangle,84,78,red
neural_network/training_images/triangle_red_0030.bmp,triangle,64,52,red
neural_network/training_images/triangle_red_0031.bmp,triangle,51,75,red
neural_network/training_images/triangle_red_0032.bmp,triangle,76,70,red
neural_network/training_images/triangle_red_0033.bmp,triangle,66,62,red
neural_network/training_images/triangle_red_0034.bmp,triangle,63,71,red
neural_network/training_images/triangle_red_0035.bmp,triangle,70,68,red
neural_network/training_images/triangle_red_0036.bmp,triangle,65,64,red
neural_network/training_images/triangle_red_0037.bmp,triangle,66,76,red
neural_network/training_images/triangle_red_0038.bmp,triangle,61,62,red
neural_network/training_images/triangle_red_0039.bmp,triangle,66,50,red
neural_network/training_images/triangle_red_0040.bmp,triangle,53,68,red
neural_network/training_images/triangle_red_0041.bmp,triangle,64,67,red
neural_network/training_images/triangle_red_0042.bmp,triangle,72,53,red
neural_network/training_images/triangle_red_0043.bmp,triangle,64,61,red
neural_network/training_images/triangle_red_0044.bmp,triangle,69,67,red
neural_network/training_images/triangle_red_0045.bmp,triangle,65,58,red
neural_network/training_images/triangle_red_0046.bmp,triangle,64,68,red
neural_network/training_images/triangle_red_0047.bmp,triangle,62,67,red
neural_network/training_images/triangle_red_0048.bmp,triangle,44,72,red
neural_network/training_images/triangle_red_0049.bmp,triangle,54,62,red
neural_network/training_images/triangle_red_0050.bmp,triangle,69,69,red
neural_network/training_images/triangle_red_0051.bmp,triangle,58,62,red
neural_network/training_images/triangle_red_0052.bmp,triangle,61,70,red
neural_network/training_images/triangle_red_0053.bmp,triangle,64,65,red
neural_network/training_images/triangle_red_0054.bmp,triangle,70,68,red
neural_network/training_images/triangle_red_0055.bmp,triangle,69,55,red
neural_network/training_images/triangle_red_0056.bmp,triangle,63,59,red
neural_network/training_images/triangle_red_0057.bmp,triangle,66,55,red
neural_network/training_images/triangle_red_0058.bmp,triangle,52,65,red
neural_network/training_images/triangle_red_0059.bmp,triangle,60,72,red
neural_network/training_images/triangle_red_0060.bmp,triangle,60,52,red
neural_network/training_images/triangle_red_0061.bmp,triangle,66,73,red
neural_network/training_images/triangle_red_0062.bmp,triangle,71,69,red
neural_network/training_images/triangle_red_0063.bmp,triangle,59,64,red
neural_network/training_images/triangle_red_0064.bmp,triangle,54,50,red
neural_network/training_images/triangle_red_0065.bmp,triangle,70,69,red
neural_network/training_images/triangle_red_0066.bmp,triangle,73,67,red
neural_network/training_images/triangle_red_0067.bmp,triangle,65,71,red
neural_network/training_images/triangle_red_0068.bmp,triangle,65,62,red
neural_network/training_images/triangle_red_0069.bmp,triangle,72,73,red
neural_network/training_images/triangle_red_0070.bmp,triangle,65,80,red
neural_network/training_images/triangle_red_0071.bmp,triangle,75,66,red
neural_network/training_images/triangle_red_0072.bmp,triangle,72,67,red
neural_network/training_images/triangle_red_0073.bmp,triangle,49,64,red
neural_network/training_images/triangle_red_0074.bmp,triangle,57,52,red
neural_network/training_images/triangle_red_0075.bmp,triangle,66,64,red
neural_network/training_images/triangle_red_0076.bmp,triangle,66,53,red
neural_network/training_images/triangle_red_0077.bmp,triangle,59,71,red
neural_network/training_images/triangle_red_0078.bmp,triangle,61,66,red
neural_network/training_images/triangle_red_0079.bmp,triangle,62,73,red
neural_network/training_images/triangle_red_0080.bmp,triangle,61,68,red
neural_network/training_images/triangle_red_0081.bmp,triangle,68,58,red
neural_network/training_images/triangle_red_0082.bmp,triangle,62,60,red
neural_network/training_images/triangle_red_0083.bmp,triangle,53,60,red
neural_network/training_images/triangle_red_0084.bmp,triangle,72,66,red
neural_network/training_images/triangle_red_0085.bmp,triangle,58,67,red
neural_network/training_images/triangle_red_0086.bmp,triangle,57,73,red
neural_network/training_images/triangle_red_0087.bmp,triangle,62,66,red
neural_network/training_images/triangle_red_0088.bmp,triangle,62,65,red
neural_network/training_images/triangle_red_0089.bmp,triangle,56,64,red
neural_network/training_images/triangle_red_0090.bmp,triangle,56,54,red
neural_network/training_images/triangle_red_0091.bmp,triangle,59,61,red
neural_network/training_images/triangle_red_0092.bmp,triangle,71,62,red
neural_network/training_images/triangle_red_0093.bmp,triangle,61,75,red
neural_network/training_images/triangle_red_0094.bmp,triangle,65,55,red
neural_network/training_images/triangle_red_0095.bmp,triangle,70,76,red
neural_network/training_images/triangle_red_0096.bmp,triangle,65,61,red
neural_network/training_images/triangle_red_0097.bmp,triangle,62,46,red
